iter	Passed	Remaining
400	20601	30774
401	20654	30724
402	20683	30640
403	20737	30592
404	20787	30539
405	20833	30479
406	20856	30388
407	20908	30338
408	20965	30294
409	21021	30250
410	21073	30200
411	21125	30149
412	21179	30102
413	21226	30044
414	21275	29990
415	21328	29942
416	21399	29917
417	21462	29882
418	21515	29834
419	21567	29783
420	21623	29738
421	21657	29664
422	21708	29611
423	21751	29549
424	21786	29476
425	21834	29420
426	21866	29343
427	21921	29296
428	21975	29249
429	22014	29181
430	22066	29131
431	22119	29082
432	22161	29019
433	22213	28969
434	22257	28908
435	22309	28859
436	22360	28808
437	22396	28736
438	22447	28685
439	22505	28642
440	22536	28566
441	22585	28512
442	22609	28428
443	22655	28370
444	22685	28292
445	22719	28221
446	22754	28150
447	22807	28101
448	22853	28045
449	22906	27996
450	22951	27939
451	23001	27886
452	23053	27836
453	23105	27788
454	23157	27737
455	23207	27686
456	23262	27639
457	23305	27580
458	23341	27511
459	23393	27461
460	23441	27407
461	23493	27358
462	23549	27313
463	23612	27276
464	23657	27218
465	23702	27160
466	23753	27110
467	23807	27063
468	23833	26984
469	23886	26935
470	23912	26857
471	23966	26809
472	23990	26729
473	24025	26661
474	24081	26615
475	24126	26559
476	24154	26483
477	24197	26425
478	24249	26375
479	24304	26330
480	24356	26280
481	24401	26223
482	24452	26173
483	24477	26095
484	24530	26048
485	24551	25966
486	24607	25921
487	24660	25873
488	24715	25827
489	24766	25777
490	24811	25720
491	24850	25658
492	24896	25603
493	24948	25554
494	24999	25504
495	25035	25439
496	25073	25376
497	25126	25328
498	25162	25263
499	25207	25207
500	25248	25147
501	25299	25098
502	25341	25039
503	25393	24990
504	25414	24911
505	25440	24836
506	25493	24789
507	25544	24740
508	25589	24684
509	25646	24640
510	25695	24589
511	25747	24540
512	25799	24491
513	25853	24445
514	25905	24396
515	25953	24343
516	25979	24271
517	26026	24217
518	26055	24147
519	26109	24101
520	26139	24031
521	26168	23963
522	26217	23911
523	26246	23842
524	26275	23772
525	26303	23703
526	26356	23655
527	26390	23591
528	26418	23521
529	26446	23452
530	26499	23405
531	26548	23354
532	26581	23290
533	26609	23221
534	26663	23174
535	26735	23144
536	26791	23099
537	26841	23049
538	26888	22997
539	26938	22948
540	26991	22899
541	27044	22853
542	27075	22787
543	27127	22739
544	27176	22688
545	27229	22641
546	27259	22574
547	27288	22507
548	27332	22453
549	27384	22405
550	27436	22357
551	27489	22309
552	27541	22262
553	27593	22214
554	27647	22167
555	27700	22120
556	27746	22067
557	27794	22016
558	27847	21969
559	27877	21904
560	27930	21856
561	27980	21807
562	28032	21758
563	28061	21692
564	28099	21634
565	28156	21590
566	28212	21545
567	28270	21501
568	28316	21448
569	28350	21387
570	28407	21343
571	28464	21298
572	28521	21253
573	28582	21212
574	28622	21155
575	28694	21122
576	28752	21078
577	28780	21012
578	28837	20968
579	28887	20918
580	28940	20871
581	28998	20826
582	29031	20765
583	29063	20702
584	29112	20652
585	29162	20603
586	29222	20560
587	29275	20512
588	29328	20464
589	29390	20423
590	29449	20380
591	29510	20338
592	29560	20288
593	29618	20244
594	29670	20195
595	29729	20151
596	29806	20120
597	29872	20081
598	29928	20035
599	29955	19970
600	30004	19919
601	30057	19872
602	30121	19831
603	30155	19770
604	30210	19723
605	30252	19669
606	30310	19624
607	30362	19576
608	30420	19531
609	30478	19486
610	30535	19440
611	30593	19395
612	30653	19351
613	30688	19292
614	30723	19233
615	30782	19189
616	30835	19141
617	30895	19097
618	30946	19047
619	31009	19006
620	31059	18955
621	31125	18915
622	31171	18863
623	31227	18816
624	31274	18764
625	31330	18718
626	31396	18677
627	31457	18633
628	31513	18587
629	31535	18520
630	31589	18473
631	31661	18435
632	31718	18389
633	31780	18346
634	31840	18302
635	31905	18260
636	31936	18199
637	31976	18143
638	32012	18085
639	32049	18028
640	32110	17983
641	32162	17934
642	32222	17890
643	32271	17839
644	32325	17791
645	32377	17742
646	32432	17694
647	32467	17636
648	32496	17575
649	32551	17527
650	32628	17491
651	32680	17443
652	32714	17384
653	32779	17341
654	32851	17303
655	32898	17251
656	32983	17219
657	33046	17176
658	33098	17126
659	33168	17086
660	33197	17025
661	33249	16976
662	33288	16920
663	33311	16856
664	33363	16807
665	33426	16763
666	33493	16721
667	33523	16661
668	33587	16618
669	33619	16558
670	33669	16508
671	33734	16465
672	33816	16430
673	33881	16387
674	33958	16350
675	34030	16310
676	34076	16257
677	34117	16203
678	34180	16159
679	34239	16112
680	34284	16059
681	34344	16014
682	34401	15966
683	34462	15921
684	34528	15878
685	34600	15837
686	34638	15781
687	34696	15734
688	34753	15687
689	34820	15643
690	34877	15596
691	34921	15542
692	34981	15496
693	35041	15450
694	35086	15397
695	35163	15358
696	35217	15309
697	35294	15270
698	35355	15224
699	35419	15179
700	35473	15130
701	35538	15085
702	35598	15039
703	35673	14999
704	35726	14949
705	35775	14898
706	35838	14852
707	35880	14798
708	35943	14752
709	36026	14715
710	36088	14668
711	36149	14622
712	36212	14576
713	36267	14527
714	36332	14482
715	36403	14439
716	36435	14381
717	36494	14333
718	36560	14288
719	36636	14247
720	36706	14204
721	36753	14151
722	36804	14100
723	36862	14052
724	36927	14006
725	36960	13949
726	37022	13902
727	37073	13851
728	37134	13804
729	37194	13757
730	37267	13714
731	37311	13660
732	37377	13614
733	37415	13559
734	37482	13514
735	37559	13472
736	37627	13427
737	37665	13371
738	37722	13322
739	37759	13266
740	37811	13216
741	37858	13163
742	37904	13111
743	37981	13068
744	38048	13023
745	38096	12971
746	38150	12921
747	38206	12871
748	38226	12810
749	38269	12756
750	38320	12705
751	38355	12649
752	38408	12598
753	38429	12537
754	38480	12486
755	38526	12434
756	38578	12383
757	38624	12331
758	38681	12282
759	38726	12229
760	38761	12173
761	38806	12120
762	38854	12068
763	38913	12020
764	38963	11969
765	39014	11918
766	39070	11868
767	39134	11821
768	39192	11772
769	39247	11723
770	39298	11672
771	39345	11620
772	39392	11568
773	39445	11517
774	39498	11467
775	39549	11416
776	39600	11365
777	39652	11314
778	39704	11264
779	39755	11213
780	39807	11162
781	39854	11110
782	39905	11059
783	39946	11005
784	39999	10955
785	40052	10904
786	40103	10853
787	40151	10802
788	40201	10751
789	40234	10695
790	40270	10640
791	40315	10587
792	40360	10535
793	40404	10482
794	40451	10430
795	40485	10375
796	40526	10322
797	40579	10271
798	40631	10221
799	40680	10170
800	40709	10113
801	40761	10063
802	40810	10012
803	40864	9961
804	40916	9911
805	40964	9859
806	41018	9809
807	41066	9758
808	41118	9707
809	41170	9657
810	41213	9604
811	41268	9554
812	41297	9498
813	41348	9448
814	41400	9397
815	41448	9346
816	41467	9288
817	41502	9234
818	41555	9183
819	41587	9128
820	41640	9078
821	41693	9028
822	41742	8977
823	41763	8920
824	41795	8865
825	41868	8819
826	41923	8769
827	41976	8719
828	42029	8669
829	42083	8619
830	42144	8570
831	42210	8523
832	42269	8474
833	42325	8424
834	42375	8373
835	42428	8323
836	42473	8271
837	42512	8218
838	42555	8166
839	42604	8115
840	42656	8064
841	42699	8012
842	42749	7961
843	42791	7909
844	42838	7857
845	42879	7805
846	42922	7753
847	42966	7701
848	43019	7651
849	43044	7596
850	43095	7545
851	43146	7494
852	43197	7444
853	43235	7391
854	43290	7341
855	43343	7291
856	43398	7241
857	43437	7188
858	43493	7139
859	43546	7089
860	43600	7038
861	43647	6987
862	43678	6933
863	43728	6883
864	43780	6832
865	43810	6778
866	43862	6728
867	43916	6678
868	43973	6628
869	44018	6577
870	44070	6527
871	44119	6476
872	44161	6424
873	44206	6373
874	44230	6318
875	44271	6266
876	44325	6216
877	44373	6165
878	44422	6115
879	44476	6064
880	44504	6011
881	44558	5961
882	44606	5910
883	44659	5860
884	44712	5810
885	44746	5757
886	44790	5706
887	44847	5656
888	44880	5603
889	44925	5552
890	44971	5501
891	45003	5448
892	45046	5397
893	45099	5347
894	45138	5295
895	45185	5244
896	45248	5195
897	45311	5146
898	45368	5097
899	45423	5047
900	45473	4996
901	45493	4942
902	45522	4889
903	45570	4839
904	45624	4789
905	45669	4738
906	45715	4687
907	45744	4634
908	45790	4584
909	45824	4532
910	45873	4481
911	45921	4431
912	45944	4378
913	45995	4327
914	46029	4275
915	46049	4222
916	46096	4172
917	46125	4120
918	46172	4069
919	46214	4018
920	46266	3968
921	46301	3917
922	46330	3865
923	46383	3815
924	46433	3764
925	46494	3715
926	46531	3664
927	46582	3614
928	46625	3563
929	46673	3513
930	46717	3462
931	46760	3411
932	46795	3360
933	46846	3310
934	46898	3260
935	46946	3210
936	47000	3160
937	47055	3110
938	47109	3060
939	47150	3009
940	47200	2959
941	47228	2907
942	47282	2857
943	47326	2807
944	47378	2757
945	47423	2707
946	47468	2656
947	47520	2606
948	47569	2556
949	47621	2506
950	47657	2455
951	47710	2405
952	47762	2355
953	47811	2305
954	47864	2255
955	47917	2205
956	47972	2155
957	48025	2105
958	48079	2055
959	48125	2005
960	48177	1955
961	48230	1905
962	48281	1855
963	48336	1805
964	48399	1755
965	48459	1705
966	48503	1655
967	48533	1604
968	48564	1553
969	48609	1503
970	48660	1453
971	48705	1403
972	48750	1352
973	48779	1302
974	48828	1252
975	48880	1201
976	48933	1151
977	48984	1101
978	49035	1051
979	49083	1001
980	49126	951
981	49171	901
982	49216	851
983	49249	800
984	49292	750
985	49345	700
986	49397	650
987	49444	600
988	49479	550
989	49531	500
990	49566	450
991	49619	400
992	49672	350
993	49697	299
994	49750	250
995	49801	200
996	49853	150
997	49898	99
998	49948	49
999	49999	0
