iter	Logloss
0	0.6508086733
1	0.6150174345
2	0.58782728
3	0.5639255162
4	0.5440839269
5	0.5293205337
6	0.5174130182
7	0.5057903672
8	0.4963196042
9	0.488995683
10	0.4820162451
11	0.4758961529
12	0.4712280515
13	0.4670472108
14	0.4627535116
15	0.4590700485
16	0.4555073136
17	0.4525043755
18	0.449796445
19	0.4475888633
20	0.4447730712
21	0.4428205643
22	0.4409293934
23	0.4392367727
24	0.4374508442
25	0.4358794161
26	0.4342929771
27	0.4334369502
28	0.4322001417
29	0.4310370486
30	0.4299470091
31	0.4290841745
32	0.4282093979
33	0.4271787914
34	0.426187875
35	0.4253461392
36	0.4244937753
37	0.423736901
38	0.4231270277
39	0.4226316557
40	0.4220671111
41	0.4212781599
42	0.4206910651
43	0.420290544
44	0.4198396133
45	0.4193273691
46	0.4187824908
47	0.4183372897
48	0.4177434101
49	0.417430166
50	0.4171156894
51	0.4165163655
52	0.416217475
53	0.4158721839
54	0.4157700837
55	0.4153316246
56	0.4149876513
57	0.4148066001
58	0.4145666949
59	0.4142443052
60	0.4138569307
61	0.413679903
62	0.4134378592
63	0.4131376404
64	0.4128947741
65	0.4126391758
66	0.4124783399
67	0.4123845062
68	0.4121439851
69	0.4120155516
70	0.4117916117
71	0.4116317756
72	0.4114512873
73	0.411306561
74	0.411137501
75	0.4109872085
76	0.4108353193
77	0.4107459981
78	0.4106464025
79	0.4105125674
80	0.4103435704
81	0.4102026397
82	0.4100499917
83	0.4099521078
84	0.409613626
85	0.4094332553
86	0.4093298732
87	0.4092290959
88	0.4091200654
89	0.4089142319
90	0.4088483177
91	0.4087457001
92	0.4086411228
93	0.4085652251
94	0.4084421939
95	0.4083000864
96	0.4081989556
97	0.4079652213
98	0.4078645115
99	0.407785364
100	0.4077657796
101	0.4076821057
102	0.4076025915
103	0.4075384612
104	0.4075034693
105	0.407450396
106	0.407402591
107	0.4073554181
108	0.4071908704
109	0.4071057352
110	0.4070026342
111	0.4069452646
112	0.4069289932
113	0.4068758936
114	0.4068262484
115	0.4067534526
116	0.4066329062
117	0.4065797311
118	0.406526321
119	0.406489135
120	0.4064200663
121	0.4063560867
122	0.406339451
123	0.406236024
124	0.4061798526
125	0.4061237995
126	0.4061143227
127	0.4060822869
128	0.4060452736
129	0.4059801536
130	0.4059452948
131	0.4059234744
132	0.405840685
133	0.4058331277
134	0.4057815834
135	0.4057440357
136	0.405706598
137	0.4057043761
138	0.4056583246
139	0.4056081765
140	0.4055373615
141	0.4055060243
142	0.4054557197
143	0.4054395353
144	0.4053431432
145	0.4053133257
146	0.4052329165
147	0.4051356379
148	0.4050958944
149	0.4050398902
150	0.4050221887
151	0.4049784474
152	0.404961199
153	0.4049022358
154	0.4048853027
155	0.4048623593
156	0.4048363908
157	0.4048119544
158	0.4047992481
159	0.4047846549
160	0.404734735
161	0.4047104341
162	0.4046455605
163	0.4046010954
164	0.4045357653
165	0.4044768969
166	0.4044519252
167	0.4044129105
168	0.4043834402
169	0.4043666847
170	0.404311539
171	0.4042757306
172	0.4042112317
173	0.4041848938
174	0.4041596807
175	0.4041509507
176	0.4041452989
177	0.4041094251
178	0.4041061482
179	0.4040798767
180	0.4040462665
181	0.4040121699
182	0.4039902093
183	0.4039867611
184	0.4039677019
185	0.4039416419
186	0.4039322969
187	0.4039183583
188	0.4039158507
189	0.4038965272
190	0.4038744082
191	0.4038575857
192	0.4038511753
193	0.4038379823
194	0.4038208438
195	0.4037951401
196	0.4037522328
197	0.4037431408
198	0.4037302597
199	0.4037040503
200	0.4037009523
201	0.4036709159
202	0.4035996641
203	0.4035716789
204	0.4035570847
205	0.4035530902
206	0.4035377809
207	0.4035254936
208	0.4035249748
209	0.4035132423
210	0.4035122962
211	0.4034832106
212	0.4034550959
213	0.4034083175
214	0.4033762926
215	0.4033746699
216	0.4033388039
217	0.4033349768
218	0.4033330007
219	0.403329911
220	0.4033222858
221	0.4033211701
222	0.403310337
223	0.4033083356
224	0.4033056568
225	0.4033037685
226	0.4032712002
227	0.4032454998
228	0.4032334191
229	0.4032328273
230	0.4032182552
231	0.4031963813
232	0.4031841768
233	0.4031758539
234	0.4031359835
235	0.4031034464
236	0.4031031672
237	0.4030833942
238	0.403052533
239	0.4030485558
240	0.4030247707
241	0.4030239894
242	0.4029678126
243	0.4029510703
244	0.4029459043
245	0.402944097
246	0.4029430079
247	0.4029063069
248	0.4028964782
249	0.4028801578
250	0.4028651883
251	0.4028647902
252	0.4028640964
253	0.4028524491
254	0.4028323094
255	0.402818507
256	0.4028051611
257	0.4027888694
258	0.4027681827
259	0.4027588671
260	0.4027553164
261	0.4027344947
262	0.4027039606
263	0.4027039166
264	0.4027039163
265	0.4026757541
266	0.402652338
267	0.4026056585
268	0.4025900684
269	0.4025319054
270	0.402521452
271	0.4025063456
272	0.4025042514
273	0.4025028052
274	0.4024877879
275	0.4024806505
276	0.4024385555
277	0.4024247505
278	0.4023970513
279	0.4023342238
280	0.4023111105
281	0.4022848228
282	0.4022838241
283	0.4022818285
284	0.4022714057
285	0.402248267
286	0.4022406136
287	0.402235741
288	0.4022322708
289	0.4022161745
290	0.4021822102
291	0.4021452365
292	0.4021375381
293	0.4021276747
294	0.4021269651
295	0.402126965
296	0.4021155878
297	0.402094593
298	0.4020563357
299	0.402054191
300	0.4020434438
301	0.4020424506
302	0.4020368226
303	0.4020272568
304	0.401993069
305	0.4019676623
306	0.4019244133
307	0.4018844867
308	0.4018474438
309	0.4018390658
310	0.4018390517
311	0.4017843204
312	0.4017476465
313	0.4017400528
314	0.4017385185
315	0.4017031612
316	0.4016397525
317	0.4016224383
318	0.401579791
319	0.4015688285
320	0.4015685769
321	0.4015683478
322	0.4015668358
323	0.4015511721
324	0.4015368807
325	0.4015208449
326	0.4015199817
327	0.4014962521
328	0.4014788497
329	0.4014768818
330	0.401473492
331	0.401468805
332	0.4014526065
333	0.4014060948
334	0.4014020838
335	0.4014013162
336	0.4013985298
337	0.4013976118
338	0.4013866453
339	0.4013804631
340	0.4013727286
341	0.4013503244
342	0.4012944954
343	0.401260766
344	0.4012524341
345	0.4012517198
346	0.4012460356
347	0.4012312545
348	0.4012275923
349	0.4012011145
350	0.4011698176
351	0.4011524898
352	0.4011401769
353	0.40113528
354	0.4010876668
355	0.4010664801
356	0.4010398194
357	0.4010398174
358	0.4010379023
359	0.4010213458
360	0.4010066827
361	0.4009919154
362	0.4009832404
363	0.4009576661
364	0.4009568405
365	0.4009541238
366	0.4009532463
367	0.4009532461
368	0.4009472142
369	0.4009395356
370	0.4009164261
371	0.4008798807
372	0.4008670997
373	0.400860722
374	0.4008388397
375	0.4008253737
376	0.4008241701
377	0.4007990278
378	0.4007983594
379	0.4007787927
380	0.400778477
381	0.4007749859
382	0.4007674562
383	0.4007251076
384	0.4007050574
385	0.4007045369
386	0.4007044661
387	0.4007035682
388	0.4006763368
389	0.4006532594
390	0.4006532425
391	0.4006375963
392	0.4006141512
393	0.4006119736
394	0.4005754533
395	0.4005693476
396	0.4005687249
397	0.4005684164
398	0.400551462
399	0.40052035
400	0.4004972367
401	0.400450565
402	0.4004498537
403	0.4004305788
404	0.4004291932
405	0.400425762
406	0.4004254823
407	0.4003963101
408	0.4003807383
409	0.4003590783
410	0.4003459308
411	0.4003256954
412	0.4003248601
413	0.4003223088
414	0.4003181039
415	0.4002886591
416	0.4002796432
417	0.4002519795
418	0.4002116732
419	0.40016932
420	0.400146369
421	0.4001457177
422	0.4001245629
423	0.4001237491
424	0.4001230727
425	0.4001220417
426	0.4001215068
427	0.4001023399
428	0.4000663064
429	0.4000649799
430	0.4000551054
431	0.4000329009
432	0.4000328652
433	0.4000293759
434	0.4000288538
435	0.4000082925
436	0.4000074059
437	0.4000067406
438	0.4000000369
439	0.3999790185
440	0.3999782312
441	0.3999767788
442	0.3999763017
443	0.3999738598
444	0.3999736807
445	0.3999732705
446	0.3999719914
447	0.3999664518
448	0.3999658083
449	0.3999552089
450	0.3999547566
451	0.3999540398
452	0.3999387149
453	0.3999059407
454	0.3999049501
455	0.3998895194
456	0.3998706712
457	0.3998704983
458	0.3998700302
459	0.3998511192
460	0.3998434738
461	0.3998381173
462	0.3998169671
463	0.3997747006
464	0.3997738437
465	0.3997728664
466	0.399771745
467	0.3997628637
468	0.3997627603
469	0.3997286437
470	0.3997262008
471	0.3996861708
472	0.3996855621
473	0.3996820378
474	0.3996565958
475	0.3996523863
476	0.3996523765
477	0.3996518714
478	0.3996270552
479	0.399592158
480	0.3995687907
481	0.3995661581
482	0.3995412243
483	0.3995409018
